Name,Ranking,Team,receiving_tar,receiving_yds,receiving_rec,receiving_yac_yds,rushing_yds,rushing_att,receiving_tds,defense_tkl,fumbles_tot,fumbles_forced,fumbles_lost,defense_pass_def,penalty_yds,penalty,passing_att,passing_incmp,passing_incmp_air_yds,fumbles_rec_yds,fumbles_rec,receiving_twopta,receiving_twoptmissed,receiving_twoptm,puntret_yds,puntret_tot,puntret_fair,fumbles_notforced,passing_yds,passing_cmp,passing_tds,passing_cmp_air_yds,kickret_yds,kickret_ret,puntret_tds,rushing_tds,passing_sk_yds,passing_sk,fumbles_oob,fumbles_rec_tds,defense_ast,defense_ffum,defense_frec_yds,defense_frec,passing_twopta,passing_twoptm,defense_tkl_loss,defense_tkl_loss_yds,defense_tkl_primary,defense_qbhit,defense_sk_yds,defense_sk,defense_int_yds,defense_int
Emmanuel Sanders,23,DEN,98.0,868.0,71.0,297.0,53.0,4.0,4.0,,1.0,,,,20.0,2.0,1.0,,,,,,,,,,,1.0,28.0,1.0,1.0,28.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,
Marvin Jones Jr.,63,DET,62.0,508.0,35.0,101.0,,,5.0,1.0,,,,,35.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Larry Fitzgerald,25,ARI,112.0,734.0,69.0,205.0,,,6.0,3.0,,,,,5.0,1.0,1.0,,,,,1.0,,1.0,,,,,32.0,1.0,1.0,28.0,,,,,,,,,,,,,,,,,,,,,,
Christian Kirk,58,ARI,68.0,590.0,43.0,225.0,35.0,3.0,3.0,2.0,,,,,,,,,,,,1.0,1.0,,164.0,21.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Will Fuller V,69,HOU,45.0,503.0,32.0,166.0,,,4.0,,,,,,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corey Davis,28,TEN,107.0,846.0,62.0,257.0,54.0,5.0,4.0,1.0,1.0,1.0,,,20.0,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,
Curtis Samuel,49,CAR,65.0,494.0,39.0,111.0,84.0,8.0,5.0,8.0,1.0,1.0,1.0,,15.0,2.0,,,,,,,,,,,,,,,,,209.0,10.0,,2.0,,,,,,,,,,,,,,,,,,
Michael Gallup,76,DAL,68.0,507.0,33.0,173.0,,,2.0,,,,,,10.0,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Courtland Sutton,50,DEN,,,,,,,,20.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,2.0,2.0,,,0.0,1.0
Dante Pettis,71,SF,45.0,467.0,27.0,205.0,-2.0,1.0,5.0,,2.0,,,,10.0,1.0,,,,0.0,1.0,,,,27.0,9.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
James Washington,124,PIT,38.0,217.0,16.0,53.0,,,1.0,1.0,,,,,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeSean Jackson,42,PHI,74.0,774.0,41.0,181.0,29.0,6.0,4.0,3.0,,,,,5.0,1.0,,,,,,,,,24.0,5.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
Jamison Crowder,87,NYJ,42.0,310.0,24.0,178.0,30.0,4.0,2.0,,,,,,8.0,1.0,,,,,,,,,20.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donte Moncrief,56,PIT,89.0,668.0,48.0,252.0,,,3.0,1.0,1.0,,1.0,,40.0,4.0,,,,,,,,,,,,1.0,,,,,7.0,1.0,,,,,,,,,,,,,,,,,,,,
Marquez Valdes-Scantling,66,GB,73.0,581.0,38.0,209.0,29.0,2.0,2.0,2.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,21.0,1.0,,,,,,,,,,,,,,,,,,,,
